first_name,last_name,url,personality_traits,Houses,last_name_1,gender,wand,patronus,hair_color,eye_color,loyalty,skills,description,full_description
Badeea,Ali,https://harrypotter.fandom.com/wiki/Badeea_Ali,"Being a member of Ravenclaw house, Badeea was a highly intelligent and creative young witch with an impressive talent for painting and the experimentation with new forms of magic and spells. She was academically-minded, who took great interest in her schoolwork and thus often enjoyed discussing academic topics with other students. 
She was also friendly and good-natured, as she was willing to assist Jacob's sibling when they needed her help. Indeed, she was so devoted to her hobby as an artist that she did not pay much attention to many of the events that went on at Hogwarts, showing her to be a fiercely dedicated individualist who preferred living in her own imagination and world, rather than being too obsessed with reality. She feared anything with which she could not interact through reason, which included birds.
",Ravenclaw,,,,,,,,,,"Being a member of Ravenclaw house, Badeea was a highly intelligent and creative young witch with an impressive talent for painting and the experimentation with new forms of magic and spells. She was academically-minded, who took great interest in her schoolwork and thus often enjoyed discussing academic topics with other students. 
She was also friendly and good-natured, as she was willing to assist Jacob's sibling when they needed her help. Indeed, she was so devoted to her hobby as an artist that she did not pay much attention to many of the events that went on at Hogwarts, showing her to be a fiercely dedicated individualist who preferred living in her own imagination and world, rather than being too obsessed with reality. She feared anything with which she could not interact through reason, which included birds.
 "
Isidora,Morganach,https://harrypotter.fandom.com/wiki/Isidora_Morganach,"Isidora was ""confident, relatable, and wry"", and moved ""gracefully and intensely"". She was very charming, leading to her becoming notably popular in her role as a professor. She was fiercely dedicated to the removal of pain and suffering from those with whom she interacted, and was determined to use her ancient magic abilities for the betterment of her community, even if this conflicted with the views of her mentors.
However, her desire for power and want to remove pain from others eventually led to her using it on others against their will and taking power for herself. She went so far as to remove all emotion from her own father and began forcing it on students, showing how far she had fallen from her good intentions in pursuit of power.
",Ravenclaw,,,,,,,,,,"Isidora was ""confident, relatable, and wry"", and moved ""gracefully and intensely"". She was very charming, leading to her becoming notably popular in her role as a professor. She was fiercely dedicated to the removal of pain and suffering from those with whom she interacted, and was determined to use her ancient magic abilities for the betterment of her community, even if this conflicted with the views of her mentors.
However, her desire for power and want to remove pain from others eventually led to her using it on others against their will and taking power for herself. She went so far as to remove all emotion from her own father and began forcing it on students, showing how far she had fallen from her good intentions in pursuit of power.
 "
Xenophilius,Lovegood,https://harrypotter.fandom.com/wiki/Xenophilius_Lovegood,"Xenophilius dancing with Luna at the weddingXenophilius cared a great deal about his daughter Luna, and shared her bizarre beliefs; he was likely the cause of them. He thought the Daily Prophet was an awful paper, and only published stories that he thought were important and needed to be known by the public. He was extremely firm in his beliefs and felt those who disbelieve in them were ""painfully limited"", ""narrow"" and ""close-minded"". Every time a sceptic demanded the evidence for his beliefs, he in turn asked them to prove them untrue themselves.
Due to his bizarre views, many in the wizarding world thought he was senile. Eldred Worple even remembered him as a ""seriously unbalanced man"" after meeting him at one of his book signings. According to Luna, her father did not care about making money and did not pay people to write for The Quibbler; she claimed they did so because it was an honour to see their name in print. Luna also said that her father was supportive of any anti-Ministry action. Mr Lovegood fully supported Harry Potter and encouraged others to do so as well, until his daughter was kidnapped by Death Eaters. Xenophilius cared about Luna so much that he was willing to hand Harry, Ron and Hermione over to the Death Eaters in exchange for his daughter. Because of his predicament, Xenophilius was rather nervous and reclusive when the Trio visited him, leading Ron and Hermione to accuse him of cowardice and hypocrisy, and later the former even calling Xenophilius treacherous, only reluctantly retracting that claim when Harry reminded of Luna's abduction.
Xenophilius believed in the Deathly Hallows, (which actually proved to be real), as well as numerous magical cryptids such as Crumple-Horned Snorkacks. He also believed that gnomes had powerful magic, and that the dirigible plum would enhance one's ability to accept the extraordinary. Although he sought the Deathly Hallows, given his personality, he was likely interested in them more as a matter of curiosity about such unusual objects, rather than a desire to actually possess or use them.
Given his tendency to believe in anything dubious and ridiculous, Xenophilius sometimes became the subject of pranks, such as when a young wizard gave him an Erumpent horn and claimed that it belonged to a Crumple-Horned Snorkack. Unbeknownst to Lovegood, the Erumpent horn would explode if given even the slightest touch. This also shows that he was ignorant about some magical creatures, as he was unable to identify the horn at first glance.
In addition, Xenophilius could be seen as a poor businessman, for not paying anyone for their articles under the naive belief that witches and wizards seeing their names in The Quibbler would be satisfaction enough. Along with the poor reputation of his magazine, this served as further disincentive for anyone to submit their writing for Xenophilus's review.
",Ravenclaw,,,,,,,,,,"Xenophilius dancing with Luna at the weddingXenophilius cared a great deal about his daughter Luna, and shared her bizarre beliefs; he was likely the cause of them. He thought the Daily Prophet was an awful paper, and only published stories that he thought were important and needed to be known by the public. He was extremely firm in his beliefs and felt those who disbelieve in them were ""painfully limited"", ""narrow"" and ""close-minded"". Every time a sceptic demanded the evidence for his beliefs, he in turn asked them to prove them untrue themselves.
Due to his bizarre views, many in the wizarding world thought he was senile. Eldred Worple even remembered him as a ""seriously unbalanced man"" after meeting him at one of his book signings. According to Luna, her father did not care about making money and did not pay people to write for The Quibbler; she claimed they did so because it was an honour to see their name in print. Luna also said that her father was supportive of any anti-Ministry action. Mr Lovegood fully supported Harry Potter and encouraged others to do so as well, until his daughter was kidnapped by Death Eaters. Xenophilius cared about Luna so much that he was willing to hand Harry, Ron and Hermione over to the Death Eaters in exchange for his daughter. Because of his predicament, Xenophilius was rather nervous and reclusive when the Trio visited him, leading Ron and Hermione to accuse him of cowardice and hypocrisy, and later the former even calling Xenophilius treacherous, only reluctantly retracting that claim when Harry reminded of Luna's abduction.
Xenophilius believed in the Deathly Hallows, (which actually proved to be real), as well as numerous magical cryptids such as Crumple-Horned Snorkacks. He also believed that gnomes had powerful magic, and that the dirigible plum would enhance one's ability to accept the extraordinary. Although he sought the Deathly Hallows, given his personality, he was likely interested in them more as a matter of curiosity about such unusual objects, rather than a desire to actually possess or use them.
Given his tendency to believe in anything dubious and ridiculous, Xenophilius sometimes became the subject of pranks, such as when a young wizard gave him an Erumpent horn and claimed that it belonged to a Crumple-Horned Snorkack. Unbeknownst to Lovegood, the Erumpent horn would explode if given even the slightest touch. This also shows that he was ignorant about some magical creatures, as he was unable to identify the horn at first glance.
In addition, Xenophilius could be seen as a poor businessman, for not paying anyone for their articles under the naive belief that witches and wizards seeing their names in The Quibbler would be satisfaction enough. Along with the poor reputation of his magazine, this served as further disincentive for anyone to submit their writing for Xenophilus's review.
 "
Padma,Patil,https://harrypotter.fandom.com/wiki/Padma_Patil,"Padma seemed to be the less outgoing and more studious of the twins. She was sorted into Ravenclaw, a mark of her intelligence. Padma was not yet asked to the Yule Ball by the time she was fixed up with Ron Weasley; as despite her physical beauty the boys in her year did not seem to be interested in her, possibly due to her intelligence, not even Dean Thomas who commented on finding Padma attractive, but seemed to have attended the ball alone. Padma was also made a prefect, something her sister never achieved, making her appear better trusted for the position by her teachers than her sister. 
She was also much quieter than her sister Parvati. She was very annoyed when Parvati began dancing with another male Hogwarts student other than her date, but when Ron didn't want to dance with her, she deserted him as well, something Luna Lovegood later found hard to understand her reasoning behind. Her desertion of Ron after seeming angry that her sister deserted Harry made her slightly hypocritical.
In spite of her flaws, Padma, much like her Gryffindor sister, was a courageous and determined individual, being unafraid to disobey and stand up to Dolores Umbridge's tyranny, and later bravely fought in the Battle of Hogwarts against the Death Eaters and survived.
",Ravenclaw,,,,,,,,,,"Padma seemed to be the less outgoing and more studious of the twins. She was sorted into Ravenclaw, a mark of her intelligence. Padma was not yet asked to the Yule Ball by the time she was fixed up with Ron Weasley; as despite her physical beauty the boys in her year did not seem to be interested in her, possibly due to her intelligence, not even Dean Thomas who commented on finding Padma attractive, but seemed to have attended the ball alone. Padma was also made a prefect, something her sister never achieved, making her appear better trusted for the position by her teachers than her sister. 
She was also much quieter than her sister Parvati. She was very annoyed when Parvati began dancing with another male Hogwarts student other than her date, but when Ron didn't want to dance with her, she deserted him as well, something Luna Lovegood later found hard to understand her reasoning behind. Her desertion of Ron after seeming angry that her sister deserted Harry made her slightly hypocritical.
In spite of her flaws, Padma, much like her Gryffindor sister, was a courageous and determined individual, being unafraid to disobey and stand up to Dolores Umbridge's tyranny, and later bravely fought in the Battle of Hogwarts against the Death Eaters and survived.
 "
Marietta,Edgecombe,https://harrypotter.fandom.com/wiki/Marietta_Edgecombe,"When Cho became depressed over Cedric's death, Marietta was presumably comforting and supportive, being the only one to remain with her when the other friends left irresponsibly. Cho claimed Marietta was a lovely person, an attribute that was mostly unseen in her behaviour to others.
However, Marietta was one of the many people who were loyal to the Ministry of Magic and was sceptical of Harry Potter's statement of Lord Voldemort returning. She thought that he and Albus Dumbledore were liars and remained cynical towards him throughout her time in the D.A., and would not be swayed by the genuine article within The Quibbler about Voldemort's return; she only joined because Cho wanted her to. As with the majority of the magical community, Marietta feared to hear the name ""Voldemort"", as she shrieked aloud and slopped Butterbeer down her front.
Marietta's mother was a Ministry employee and as such, Marietta felt strong pressure to be on Dolores Umbridge's good side. Her apparent faithfulness to Cho Chang diminished when Cho forced her to join an illegal organisation, and she eventually betrayed Dumbledore's Army meaning her classmates (including Cho) who were in the organisation were almost expelled from school. Even if it meant that she would forsake a chance to learn more practical defence, especially the Patronus Charm that others were so eager to learn, Marietta chose her family's loyalty first. While Cho insisted that Marietta simply made a mistake, Harry Potter felt that Marietta was disgraceful and an unforgivable traitor. Hermione commented that she was ""stupid"".
When her face was horribly disfigured for her betrayal against Dumbledore's Army, she became extremely embarrassed and refused to uncover her face to testify verbally, leading to some setbacks for Umbridge and Fudge that ultimately gave Kingsley a chance to modify her memory. Because of the jinx scarring her face, she took great measures to cover her disfigured face, and even became anxious in the presence of Harry Potter afterwards, implying she may have felt some guilt over her treacherous behaviours, but lacked the courage to apologise to him.  
She was shown to be a poor judge of character, as she did not believe Harry Potter and Albus Dumbledore's story, instead believing the Ministry's smear campaign against them. She was also very critical and insolent towards Harry during their DA meetings, implying she was rather impolite and unpleasant in nature, at least to people she distrusted.
",Ravenclaw,,,,,,,,,,"When Cho became depressed over Cedric's death, Marietta was presumably comforting and supportive, being the only one to remain with her when the other friends left irresponsibly. Cho claimed Marietta was a lovely person, an attribute that was mostly unseen in her behaviour to others.
However, Marietta was one of the many people who were loyal to the Ministry of Magic and was sceptical of Harry Potter's statement of Lord Voldemort returning. She thought that he and Albus Dumbledore were liars and remained cynical towards him throughout her time in the D.A., and would not be swayed by the genuine article within The Quibbler about Voldemort's return; she only joined because Cho wanted her to. As with the majority of the magical community, Marietta feared to hear the name ""Voldemort"", as she shrieked aloud and slopped Butterbeer down her front.
Marietta's mother was a Ministry employee and as such, Marietta felt strong pressure to be on Dolores Umbridge's good side. Her apparent faithfulness to Cho Chang diminished when Cho forced her to join an illegal organisation, and she eventually betrayed Dumbledore's Army meaning her classmates (including Cho) who were in the organisation were almost expelled from school. Even if it meant that she would forsake a chance to learn more practical defence, especially the Patronus Charm that others were so eager to learn, Marietta chose her family's loyalty first. While Cho insisted that Marietta simply made a mistake, Harry Potter felt that Marietta was disgraceful and an unforgivable traitor. Hermione commented that she was ""stupid"".
When her face was horribly disfigured for her betrayal against Dumbledore's Army, she became extremely embarrassed and refused to uncover her face to testify verbally, leading to some setbacks for Umbridge and Fudge that ultimately gave Kingsley a chance to modify her memory. Because of the jinx scarring her face, she took great measures to cover her disfigured face, and even became anxious in the presence of Harry Potter afterwards, implying she may have felt some guilt over her treacherous behaviours, but lacked the courage to apologise to him.  
She was shown to be a poor judge of character, as she did not believe Harry Potter and Albus Dumbledore's story, instead believing the Ministry's smear campaign against them. She was also very critical and insolent towards Harry during their DA meetings, implying she was rather impolite and unpleasant in nature, at least to people she distrusted.
 "
Amit,Thakkar,https://harrypotter.fandom.com/wiki/Amit_Thakkar,"Amit aspired to be a magical historian, having made extensive plans for his first memoir. He was exceptionally bright and well-read. He adored stargazing and always seemed to have the most recent, top-of-the-line telescope on hand to use whenever needed. He would selflessly help out his friends when called upon to do so, although he sometimes found himself in over his head and reflecting that he might have been better off had he stayed at home and written about the exploits of more daring peers than he was by going out to experience them first hand.
",Ravenclaw,,,,,,,,,,"Amit aspired to be a magical historian, having made extensive plans for his first memoir. He was exceptionally bright and well-read. He adored stargazing and always seemed to have the most recent, top-of-the-line telescope on hand to use whenever needed. He would selflessly help out his friends when called upon to do so, although he sometimes found himself in over his head and reflecting that he might have been better off had he stayed at home and written about the exploits of more daring peers than he was by going out to experience them first hand.
 "
Talbott,Winger,https://harrypotter.fandom.com/wiki/Talbott_Winger,"Talbott was a remarkably skilled and intelligent young wizard, who possessed many traits of Ravenclaw House, in particular intelligence and individuality. He was academically minded, and was very passionate about his schoolwork, as he wished to become an Auror, showing him to have been very ambitious in his life goals. He was also rather perceptive and intuitive, as shown when he warned Jacob's sibling about bad things that were going on, implying he knew much more about the dark happenings that were going on during his school time than the average student did.
He was also shown to be sarcastic and witty, as seen in his interactions with Jacob's sibling.
Talbott Winger was known to be an extreme introvert and a loner, and before befriending Jacob's sibling, his only friends were Penny, Tonks, and despite being the Head of Gryffindor House: Professor McGonagall, due to her being a fellow Animagus (cat) and her previous work in the Ministry of Magic. Due to his reserved personality, Talbott often talked to himself.
",Ravenclaw,,,,,,,,,,"Talbott was a remarkably skilled and intelligent young wizard, who possessed many traits of Ravenclaw House, in particular intelligence and individuality. He was academically minded, and was very passionate about his schoolwork, as he wished to become an Auror, showing him to have been very ambitious in his life goals. He was also rather perceptive and intuitive, as shown when he warned Jacob's sibling about bad things that were going on, implying he knew much more about the dark happenings that were going on during his school time than the average student did.
He was also shown to be sarcastic and witty, as seen in his interactions with Jacob's sibling.
Talbott Winger was known to be an extreme introvert and a loner, and before befriending Jacob's sibling, his only friends were Penny, Tonks, and despite being the Head of Gryffindor House: Professor McGonagall, due to her being a fellow Animagus (cat) and her previous work in the Ministry of Magic. Due to his reserved personality, Talbott often talked to himself.
 "
Everett,Clopton,https://harrypotter.fandom.com/wiki/Everett_Clopton,"Everett was described as a bully, and a prankster. He loved fun and was good at breaking school rules. He was rather arrogant and liked to break the school rules.
",Ravenclaw,,,,,,,,,,"Everett was described as a bully, and a prankster. He loved fun and was good at breaking school rules. He was rather arrogant and liked to break the school rules.
 "
Anthony,Goldstein,https://harrypotter.fandom.com/wiki/Anthony_Goldstein,"Anthony was a very friendly and good-natured individual. He was willing to disobey and risk being punished by Dolores Umbridge, in opposition to her tyranny over Hogwarts. He was a devoted member of Dumbledore's Army. 
He was also very courageous and determined. He bravely fought against the Death Eaters in the Battle of Hogwarts, along with most of his friends and fellow students to defend his school.
",Ravenclaw,,,,,,,,,,"Anthony was a very friendly and good-natured individual. He was willing to disobey and risk being punished by Dolores Umbridge, in opposition to her tyranny over Hogwarts. He was a devoted member of Dumbledore's Army. 
He was also very courageous and determined. He bravely fought against the Death Eaters in the Battle of Hogwarts, along with most of his friends and fellow students to defend his school.
 "
Myrtle,Warren,https://harrypotter.fandom.com/wiki/Myrtle_Warren,"Moaning Myrtle in her customary glassesMyrtle was constantly bullied during her education at Hogwarts, for both her physical appearance and her personality. Myrtle's personality itself was being very sensitive; she hardly ever smiled and took great offence at the smallest slight. She usually cried when she got sad, and when she did, she cried very loudly, hence her nickname Moaning Myrtle. She was often upset so badly that she tried to kill herself until she realised that she was already dead. Myrtle did tend to be happy when something bad happened to other students, like when Hermione Granger accidentally gained cat fur, ears and a tail after taking a contaminated Polyjuice Potion. The only time she seemed to enjoy herself was when she recalled the moment of death, describing the event with relish.
She did, however, seem to warm to some male students, including Harry Potter and Draco Malfoy. Myrtle also appeared to be a desperate flirt; she constantly flirted with Harry Potter, and showed her desperation to find love by spying on students such as Cedric Diggory whilst he bathed in the prefects' bathroom. Myrtle also was likely childish as well, as she liked to take bubble baths when she was alive, due to 'all those pretty bubbles'.
",Ravenclaw,,,,,,,,,,"Moaning Myrtle in her customary glassesMyrtle was constantly bullied during her education at Hogwarts, for both her physical appearance and her personality. Myrtle's personality itself was being very sensitive; she hardly ever smiled and took great offence at the smallest slight. She usually cried when she got sad, and when she did, she cried very loudly, hence her nickname Moaning Myrtle. She was often upset so badly that she tried to kill herself until she realised that she was already dead. Myrtle did tend to be happy when something bad happened to other students, like when Hermione Granger accidentally gained cat fur, ears and a tail after taking a contaminated Polyjuice Potion. The only time she seemed to enjoy herself was when she recalled the moment of death, describing the event with relish.
She did, however, seem to warm to some male students, including Harry Potter and Draco Malfoy. Myrtle also appeared to be a desperate flirt; she constantly flirted with Harry Potter, and showed her desperation to find love by spying on students such as Cedric Diggory whilst he bathed in the prefects' bathroom. Myrtle also was likely childish as well, as she liked to take bubble baths when she was alive, due to 'all those pretty bubbles'.
 "
Niamh,Fitzgerald,https://harrypotter.fandom.com/wiki/Niamh_Fitzgerald,"Niamh was a natural leader and protector that feared more for the individual students for whom were in her care. She inspired courage and compassion among her colleagues, and drove the group to continue the search for answers, even when hope seemed dim. Niamh was level-headed, she thought before she spoke and noticed everything. Niamh was known for her grace, wisdom, kindness, and confidence.
",Ravenclaw,,,,,,,,,,"Niamh was a natural leader and protector that feared more for the individual students for whom were in her care. She inspired courage and compassion among her colleagues, and drove the group to continue the search for answers, even when hope seemed dim. Niamh was level-headed, she thought before she spoke and noticed everything. Niamh was known for her grace, wisdom, kindness, and confidence.
 "
